collection_key,sequence,coptic_month,coptic_day,coptic_day_key,calendar_key,toc_label,reading_section_start_page,source_key,source_title,source_edition,source_url,source_locator,membership_status,membership_verdict,membership_basis,verification_status
foundational-13-babah-27,13,Babah,27,Babah 27,Babah 27,27 Babah,135,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 135",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-14-hatur-08,14,Hatur,8,Hatur 8,Hatur 8,8 Hatur,143,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 143",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-15-hatur-09,15,Hatur,9,Hatur 9,Hatur 9,9 Hatur,151,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 151",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-16-hatur-12,16,Hatur,12,Hatur 12,Hatur 12,12 Hatur,159,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 159",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-17-hatur-15,17,Hatur,15,Hatur 15,Hatur 15,15 Hatur,169,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 169",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-18-hatur-17,18,Hatur,17,Hatur 17,Hatur 17,17 Hatur,177,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 177",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-19-hatur-22,19,Hatur,22,Hatur 22,Hatur 22,22 Hatur,187,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 187",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-20-hatur-24,20,Hatur,24,Hatur 24,Hatur 24,24 Hatur,194,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 194",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-21-hatur-25,21,Hatur,25,Hatur 25,Hatur 25,25 Hatur,202,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 202",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-22-hatur-27,22,Hatur,27,Hatur 27,Hatur 27,27 Hatur,211,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 211",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-23-hatur-28,23,Hatur,28,Hatur 28,Hatur 28,28 Hatur,218,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 218",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-24-hatur-29,24,Hatur,29,Hatur 29,Hatur 29,29 Hatur,227,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 227",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-25-kiyahk-22,25,Kiyahk,22,Kiyahk 22,Kiyahk 22,22 Kiyahk,236,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 236",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-26-kiyahk-28,26,Kiyahk,28,Kiyahk 28,Kiyahk 28,28 Kiyahk,245,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 245",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-27-kiyahk-29,27,Kiyahk,29,Kiyahk 29,Kiyahk 29,29 Kiyahk,255,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 255",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-28-kiyahk-30,28,Kiyahk,30,Kiyahk 30,Kiyahk 30,30 Kiyahk,263,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 263",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-29-tubah-01,29,Tubah,1,Tubah 1,Tubah 1,1 Tubah,270,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 270",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-30-tubah-03,30,Tubah,3,Tubah 3,Tubah 3,3 Tubah,280,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 280",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-31-tubah-04,31,Tubah,4,Tubah 4,Tubah 4,4 Tubah,288,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 288",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-32-tubah-06,32,Tubah,6,Tubah 6,Tubah 6,6 Tubah,297,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 297",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-33-tubah-10,33,Tubah,10,Tubah 10,Tubah 10,10 Tubah,305,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 305",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-34-tubah-11,34,Tubah,11,Tubah 11,Tubah 11,11 Tubah,313,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 313",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-35-tubah-12,35,Tubah,12,Tubah 12,Tubah 12,12 Tubah,322,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 322",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-36-tubah-13,36,Tubah,13,Tubah 13,Tubah 13,13 Tubah,330,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 330",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-37-tubah-22,37,Tubah,22,Tubah 22,Tubah 22,22 Tubah,338,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 338",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-38-tubah-26,38,Tubah,26,Tubah 26,Tubah 26,26 Tubah,346,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 346",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-39-tubah-30,39,Tubah,30,Tubah 30,Tubah 30,30 Tubah,354,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 354",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-40-amshir-02,40,Amshir,2,Amshir 2,Amshir 2,2 Amshir,361,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 361",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-41-baramhat-13,41,Baramhat,13,Baramhat 13,Baramhat 13,13 Baramhat,370,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 370",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-42-baramhat-29,42,Baramhat,29,Baramhat 29,Baramhat 29,29 Baramhat,379,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 379",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
