identity_key,display_ref,canonical_mt_ref,canonical_lxx_ref,total_occurrences,current_occurrences,historical_occurrences,source_kinds,sample_liturgical_places,hour_themes,patristic_homily_slug,chapter_study_slug,audio_slug,site_note
rid_8213ac1cca66b6f6ddfb,1Cor 12:28-31,1Cor 12:28-31,1Cor 12:28-31,1,1,0,special_service,pentecost_prostration | main_readings | main_readings,,,1cor-12,1cor-12,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_657ca0718814bb870b2b,1Cor 12:31,1Cor 12:31,1Cor 12:31,2,2,0,katameros_cycle,liturgy_pauline | liturgy_pauline || Saturday before Pentecost | liturgy_pauline | liturgy_pauline,,,1cor-12,1cor-12,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_7d326b9e0ee3d70dd193,1Cor 12:31-14:1,1Cor 12:31-14:1,1Cor 12:31-14:1,15,15,0,copticchurch_date,Thursday of the fourth week of Great Lent | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-12,1cor-12,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b95773cfc79913d81f5c,1Cor 12:31-14:4,1Cor 12:31-14:4,1Cor 12:31-14:4,16,16,0,copticchurch_date,Saturday of the seventh week of the holy fifty days | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-12,1cor-12,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_c2cb4f70461f4e0c7e56,1Cor 13:1-12,1Cor 13:1-12,1Cor 13:1-12,1,1,0,special_service,pentecost_prostration | main_readings | main_readings,,,1cor-13,1cor-13,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_bc9bf43f3795d2c1c256,1Cor 13:1-13,1Cor 13:1-13,1Cor 13:1-13,2,2,0,katameros_cycle,liturgy_pauline | liturgy_pauline || Saturday before Pentecost | liturgy_pauline | liturgy_pauline,,,1cor-13,1cor-13,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_ef7788ec8f9722572282,1Cor 13:11-13,1Cor 13:11-13,1Cor 13:11-13,1,1,0,katameros_cycle,liturgy_pauline | liturgy_pauline,,,1cor-13,1cor-13,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_4a1a20a9746147f21b9c,1Cor 13:11-14:4,1Cor 13:11-14:4,1Cor 13:11-14:4,24,24,0,copticchurch_date,Amshir 7 | Liturgy | Pauline Epistle || Fast of Ninevah | Liturgy | Pauline Epistle || Toba 3 | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-13,1cor-13,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_1e69c4e36860c6ab7a52,1Cor 13:13-14:17,1Cor 13:13-14:17,1Cor 13:13-14:17,1,1,0,special_service,pentecost_prostration | main_readings | main_readings,,,1cor-13,1cor-13,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_a5863c59d0537664e6c2,1Cor 14:1,1Cor 14:1,1Cor 14:1,1,1,0,katameros_cycle,liturgy_pauline | liturgy_pauline,,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_562685130a71f3ea6163,1Cor 14:1-4,1Cor 14:1-4,1Cor 14:1-4,2,2,0,katameros_cycle,liturgy_pauline | liturgy_pauline || Saturday before Pentecost | liturgy_pauline | liturgy_pauline,,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_8912b338be418f50c3ed,1Cor 14:12-17,1Cor 14:12-17,1Cor 14:12-17,17,17,0,copticchurch_date; katameros_cycle,Friday of the seventh week of the holy fifty days | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_88900cd8f9e3ee22a25a,1Cor 14:18-25,1Cor 14:18-25,1Cor 14:18-25,15,15,0,copticchurch_date; katameros_cycle,The fifth Sunday of Abib | Liturgy | Pauline Epistle || The fifth Sunday of Bashons | Liturgy | Pauline Epistle || The fifth Sunday of Mesra | Liturgy | Pauline Epistle || The fifth Sunday of Paona | Liturgy | Pauline Epistle || Fifth Sunday of Abib | liturgy_pauline | liturgy_pauline || Fifth Sunday of Baramhat | liturgy_pauline | liturgy_pauline || Fifth Sunday of Baramudah | liturgy_pauline | liturgy_pauline,the Eucharistic gathering of the Church,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_6a9410f6d9c360b425e5,1Cor 14:18-28,1Cor 14:18-28,1Cor 14:18-28,17,17,0,copticchurch_date; katameros_cycle,Tuesday of the sixth week of Great Lent | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_ce47e31e4d0fa95fb300,1Cor 14:18-33,1Cor 14:18-33,1Cor 14:18-33,3,3,0,copticchurch_date; katameros_cycle,The fourth Sunday of Bashons | Liturgy | Pauline Epistle || Fourth Sunday of Bashans | liturgy_pauline | liturgy_pauline,the Eucharistic gathering of the Church,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_50539ad2fbcd0ae35fe5,1Cor 14:18-40,1Cor 14:18-40,1Cor 14:18-40,1,1,0,special_service,pentecost_prostration | main_readings | main_readings,,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_62e55b71e4923a37c013,1Cor 14:5-11,1Cor 14:5-11,1Cor 14:5-11,17,17,0,copticchurch_date; katameros_cycle,Thursday of the seventh week of the holy fifty days | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_0fabf79268fbc6a8f389,1Cor 14:5-17,1Cor 14:5-17,1Cor 14:5-17,16,16,0,copticchurch_date; katameros_cycle,Tuesday of the seventh week of Great Lent | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-14,1cor-14,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_510ef64cea70eb604bf0,1Cor 15:1-22,1Cor 15:1-22,1Cor 15:1-22,2,2,0,bright_saturday_service_order; pascha_day_hour,Bright Saturday | Liturgy | Pauline Epistle || Bright Saturday | Liturgy | Pauline,the Eucharistic gathering of the Church,,1cor-15,1cor-15,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_f4849efdaf2a771b63bb,1Cor 15:1-23,1Cor 15:1-23,1Cor 15:1-23,1,1,0,special_service,funeral | part_1 | part_1,,,1cor-15,1cor-15,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_654ca9e2542635d77575,1Cor 15:1-27,1Cor 15:1-27,1Cor 15:1-27,1,1,0,special_service,general_funeral | main_readings | main_readings,,,1cor-15,1cor-15,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b5376eb8e7fff035261d,1Cor 15:23-49,1Cor 15:23-49,1Cor 15:23-49,17,17,0,copticchurch_date; katameros_cycle,The Feast of Resurrection | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-15,1cor-15,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_0a2357fd9efb6dbd9e7e,1Cor 15:39-49,1Cor 15:39-49,1Cor 15:39-49,1,1,0,special_service,funeral | part_2 | part_2,,,1cor-15,1cor-15,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_f4a57c595ed485c766ce,1Cor 15:50-58,1Cor 15:50-58,1Cor 15:50-58,18,18,0,copticchurch_date; katameros_cycle; special_service,Wednesday of the first week of the holy fifty days | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-15,1cor-15,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_9c927e9afe30d7a8741e,1Cor 15:57-16,1Cor 15:57-16,1Cor 15:57-16,1,1,0,katameros_cycle,liturgy_pauline | liturgy_pauline,,,1cor-15,1cor-15,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_ca7f7d462f90bd19a5b4,1Cor 15:57-16:8,1Cor 15:57-16:8,1Cor 15:57-16:8,16,16,0,copticchurch_date,Sunday of the sixth week of the holy fifty days | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-15,1cor-15,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b00f5051d7b98f2cd736,1Cor 16:12-23,1Cor 16:12-23,1Cor 16:12-23,16,16,0,copticchurch_date,The third Sunday of Baba | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-16,1cor-16,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b26f6d285b33240934a2,1Cor 16:12-24,1Cor 16:12-24,1Cor 16:12-24,1,1,0,katameros_cycle,Third Sunday of Babah | liturgy_pauline | liturgy_pauline,,,1cor-16,1cor-16,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_3d299c713070875f48f4,1Cor 1:1-16,1Cor 1:1-16,1Cor 1:1-16,2,2,0,copticchurch_date; katameros_cycle,The fourth Sunday of Amshir | Liturgy | Pauline Epistle || Fourth Sunday of Amshir | liturgy_pauline | liturgy_pauline,the Eucharistic gathering of the Church,,1cor-1,1cor-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_c56c5ecd4867429784bb,1Cor 1:1-17,1Cor 1:1-17,1Cor 1:1-17,21,21,0,copticchurch_date; katameros_cycle,Epiphany Paramoune | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-1,1cor-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_f48f7d55b9548abdea42,1Cor 1:17-31,1Cor 1:17-31,1Cor 1:17-31,49,49,0,copticchurch_date; katameros_cycle,Friday of the second week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat) | Liturgy | Pauline Epistle || Mesra 12 | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-1,1cor-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_65e4f9cea487eb2f68e7,1Cor 1:23-2:5,1Cor 1:23-2:5,1Cor 1:23-2:5,1,0,1,pascha_source_text,Good Friday | First Hour | Pauline,the beginning of the day and watchfulness,,1cor-1,1cor-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_50a6694c3f52d0c2abca,1Cor 2:1-16,1Cor 2:1-16,1Cor 2:1-16,10,10,0,copticchurch_date; katameros_cycle,The third Sunday of Tout | Liturgy | Pauline Epistle || Third Sunday of Tut | liturgy_pauline | liturgy_pauline,the Eucharistic gathering of the Church,,1cor-2,1cor-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_afb964274d93f8e283f9,1Cor 2:1-8,1Cor 2:1-8,1Cor 2:1-8,17,17,0,copticchurch_date; katameros_cycle,Lazarus Saturday of Great Lent | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-2,1cor-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_deee8e51f32e0fb0c5fe,1Cor 2:6-16,1Cor 2:6-16,1Cor 2:6-16,11,11,0,copticchurch_date; katameros_cycle,The second Sunday of Paona | Liturgy | Pauline Epistle || Second Sunday of Baunahh | liturgy_pauline | liturgy_pauline,the Eucharistic gathering of the Church,,1cor-2,1cor-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_841929ca36fafb1704a8,1Cor 3:1-8,1Cor 3:1-8,1Cor 3:1-8,99,99,0,copticchurch_date; katameros_cycle,Abib 15 | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-3,1cor-3,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_11564142c0f83b3a97d1,1Cor 3:4-23,1Cor 3:4-23,1Cor 3:4-23,137,137,0,copticchurch_date; katameros_cycle,Amshir 12 | Liturgy | Pauline Epistle || Amshir 19 | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-3,1cor-3,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_4b3431c3dfa7562abb31,1Cor 3:9-23,1Cor 3:9-23,1Cor 3:9-23,15,15,0,copticchurch_date; katameros_cycle,Nasie 4 | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-3,1cor-3,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_a3ac9953cb7044c071bb,1Cor 4:1-16,1Cor 4:1-16,1Cor 4:1-16,33,33,0,copticchurch_date; katameros_cycle,The fourth Sunday of Hator | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-4,1cor-4,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_5eace5c3d10681815f4c,1Cor 4:16-5,1Cor 4:16-5,1Cor 4:16-5,1,1,0,katameros_cycle,liturgy_pauline | liturgy_pauline,,,1cor-4,1cor-4,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_1b3d8af52d8d3a699434,1Cor 4:16-5:9,1Cor 4:16-5:9,1Cor 4:16-5:9,15,15,0,copticchurch_date,Thursday of the first week of Great Lent | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-4,1cor-4,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_94affbabc8f2bd0a3327,1Cor 5:11-13,1Cor 5:11-13,1Cor 5:11-13,15,15,0,copticchurch_date; katameros_cycle,The first Sunday of Amshir | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-5,1cor-5,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_df811cff75c8edc4bb8c,1Cor 5:9-6,1Cor 5:9-6,1Cor 5:9-6,1,1,0,katameros_cycle,liturgy_pauline | liturgy_pauline,,,1cor-5,1cor-5,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_2f5976122a242568f030,1Cor 5:9-6:5,1Cor 5:9-6:5,1Cor 5:9-6:5,15,15,0,copticchurch_date,Monday of the third week of Great Lent | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-5,1cor-5,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_f6ee7b4e473ac900f543,1Cor 6:1-11,1Cor 6:1-11,1Cor 6:1-11,15,15,0,copticchurch_date; katameros_cycle,The first Sunday of Amshir | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-6,1cor-6,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_f85135c36849a6eee6a4,1Cor 7:12-14,1Cor 7:12-14,1Cor 7:12-14,1,1,0,special_service,baptism | part_2 | part_2,,,1cor-7,1cor-7,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_46fe0b240edbe15252f4,1Cor 9:1-27,1Cor 9:1-27,1Cor 9:1-27,32,32,0,copticchurch_date; katameros_cycle,The first Sunday of Abib | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-9,1cor-9,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b690e32a49271d81b7b9,1Jn 1:1-10,1Jn 1:1-10,1Jn 1:1-10,23,23,0,copticchurch_date; katameros_cycle,Nasie 1 | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-1,1jn-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b3d91bd1cd5ea508bb03,1Jn 1:1-2:2,1Jn 1:1-2:2,1Jn 1:1-2:2,16,16,0,copticchurch_date,The second Sunday of Kiak | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-1,1jn-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_1e72a879101abc8d9c9a,1Jn 1:1-2:6,1Jn 1:1-2:6,1Jn 1:1-2:6,73,73,0,copticchurch_date,Abib 16 | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-1,1jn-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_c705735174a527de6608,1Jn 1:1-7,1Jn 1:1-7,1Jn 1:1-7,34,34,0,copticchurch_date; katameros_cycle,Monday of the second week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-1,1jn-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_893a8d2b7f2960f8610b,1Jn 1:6-10,1Jn 1:6-10,1Jn 1:6-10,17,17,0,copticchurch_date; katameros_cycle,Tuesday of the second week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-1,1jn-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b9ddd2319b9e55d2f689,1Jn 1:8-2,1Jn 1:8-2,1Jn 1:8-2,1,1,0,katameros_cycle,liturgy_catholic | liturgy_catholic,,,1jn-1,1jn-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_347277fe1850e104a850,1Jn 1:8-2:11,1Jn 1:8-2:11,1Jn 1:8-2:11,15,15,0,copticchurch_date,Thursday of the first week of Great Lent | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-1,1jn-1,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_cd639794f64b112d5829,1Jn 2:1-11,1Jn 2:1-11,1Jn 2:1-11,16,16,0,copticchurch_date; katameros_cycle,Tuesday of the third week of Great Lent | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_80fd071d87f216323929,1Jn 2:1-2,1Jn 2:1-2,1Jn 2:1-2,1,1,0,katameros_cycle,Second Sunday of Kiyahk - Abstinence | liturgy_catholic | liturgy_catholic,,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b96ebb46849ea8d4d7a6,1Jn 2:1-6,1Jn 2:1-6,1Jn 2:1-6,25,25,0,copticchurch_date; katameros_cycle,Wednesday of the second week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_4d4c17da9754f1d02750,1Jn 2:11-14,1Jn 2:11-14,1Jn 2:11-14,17,17,0,copticchurch_date; katameros_cycle,Friday of the second week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_da3f9c67537cd2a136ce,1Jn 2:12-17,1Jn 2:12-17,1Jn 2:12-17,50,50,0,copticchurch_date; katameros_cycle,Friday of the sixth week of Great Lent | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_a82b74ea228af1bd0760,1Jn 2:15-17,1Jn 2:15-17,1Jn 2:15-17,17,17,0,copticchurch_date; katameros_cycle,Monday of the third week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_d810dd097b360cff60f5,1Jn 2:18-23,1Jn 2:18-23,1Jn 2:18-23,17,17,0,copticchurch_date; katameros_cycle,Tuesday of the third week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_696916fcbc6979e74318,1Jn 2:20-25,1Jn 2:20-25,1Jn 2:20-25,30,30,0,copticchurch_date; katameros_cycle,Baba 6 | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_b89a7970dc44d4f71f7d,1Jn 2:20-3,1Jn 2:20-3,1Jn 2:20-3,1,1,0,katameros_cycle,The Great Feast Of The Pentecost | liturgy_catholic | liturgy_catholic,,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_97d22e8250aef5cae55e,1Jn 2:20-3:1,1Jn 2:20-3:1,1Jn 2:20-3:1,16,16,0,copticchurch_date,Pentecost | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_81712d2b5f55578e5151,1Jn 2:21-25,1Jn 2:21-25,1Jn 2:21-25,34,34,0,copticchurch_date; katameros_cycle,Saturday of the second week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_53c2e49fc34b7d7be8fb,1Jn 2:24-29,1Jn 2:24-29,1Jn 2:24-29,1,1,0,katameros_cycle,Fourth Sunday of Kiyank - Abstinence | liturgy_catholic | liturgy_catholic,,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_0880656d4d5e6d077175,1Jn 2:24-33,1Jn 2:24-33,1Jn 2:24-33,16,16,0,copticchurch_date,The fourth Sunday of Kiak | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_82ad1abb09570e9f512c,1Jn 2:26-29,1Jn 2:26-29,1Jn 2:26-29,1,1,0,katameros_cycle,liturgy_catholic | liturgy_catholic,,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_e3e36fef9164ed5a2cbb,1Jn 2:26-3:1,1Jn 2:26-3:1,1Jn 2:26-3:1,16,16,0,copticchurch_date,Thursday of the third week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_5bd7338f641fb5d7dbc0,1Jn 2:7-10,1Jn 2:7-10,1Jn 2:7-10,17,17,0,copticchurch_date; katameros_cycle,Thursday of the second week of the holy fifty days | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_d645179dd4d1959e51bc,1Jn 2:7-11,1Jn 2:7-11,1Jn 2:7-11,5,5,0,katameros_cycle,liturgy_catholic | liturgy_catholic,,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_d0773605571eaf6c33a8,1Jn 2:7-17,1Jn 2:7-17,1Jn 2:7-17,66,66,0,copticchurch_date; katameros_cycle,Feast of Nayrouz - (Readings of the First of Tut) | Liturgy | Catholic Epistle || The second Sunday of Mesra | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-2,1jn-2,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_01e603002a1f96667f8e,1Jn 3:1,1Jn 3:1,1Jn 3:1,1,1,0,katameros_cycle,liturgy_catholic | liturgy_catholic,,,1jn-3,1jn-3,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_90713945b50f430da174,1Jn 3:1-11,1Jn 3:1-11,1Jn 3:1-11,15,15,0,copticchurch_date; katameros_cycle,The first Sunday of Toba | Liturgy | Catholic Epistle,the Eucharistic gathering of the Church,,1jn-3,1jn-3,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_0cef17c76c8839d40caf,1Jn 3:1-3,1Jn 3:1-3,1Jn 3:1-3,1,1,0,katameros_cycle,Fourth Sunday of Kiyank - Abstinence | liturgy_catholic | liturgy_catholic,,,1jn-3,1jn-3,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
