service_family,service_variant,section,reading_type,raw_ref,source_title,source_url,source_page,notes,canonical_ref
unction_of_the_sick,fourth_prayer,fourth_prayer,pauline,Romans 8:14-21,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Fourth prayer Pauline.,Rom 8:14-21
unction_of_the_sick,fourth_prayer,fourth_prayer,psalm,Psalm 51:1-2,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (50) 51:1-2.,Ps 51:1-2
unction_of_the_sick,fourth_prayer,fourth_prayer,gospel,Luke 10:1-9,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Fourth prayer Gospel.,Lk 10:1-9
unction_of_the_sick,fifth_prayer,fifth_prayer,pauline,Galatians 2:16-20,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Fifth prayer Pauline.,Gal 2:16-20
unction_of_the_sick,fifth_prayer,fifth_prayer,psalm,Psalm 142:7,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (141) 142:7.,Ps 142:7
unction_of_the_sick,fifth_prayer,fifth_prayer,gospel,John 14:1-19,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Fifth prayer Gospel.,Jn 14:1-19
unction_of_the_sick,sixth_prayer,sixth_prayer,pauline,Colossians 3:12-17,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Sixth prayer Pauline.,Col 3:12-17
unction_of_the_sick,sixth_prayer,sixth_prayer,psalm,Psalm 4:1,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Sixth prayer Psalm.,Ps 4:1
unction_of_the_sick,sixth_prayer,sixth_prayer,gospel,Luke 7:36-50,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Sixth prayer Gospel.,Lk 7:36-50
unction_of_the_sick,seventh_prayer,seventh_prayer,pauline,Ephesians 6:10-18,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Seventh prayer Pauline.,Eph 6:10-18
unction_of_the_sick,seventh_prayer,seventh_prayer,psalm,Psalm 25:18; Psalm 25:20,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm (24) 25:18,20.",Ps 25:18; Psalm 25:20
unction_of_the_sick,seventh_prayer,seventh_prayer,gospel,Matthew 6:14-18,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Seventh prayer Gospel.,Matt 6:14-18
funeral,men_main,part_1,pauline,1 Corinthians 15:1-23,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Main funeral service for men.,1Cor 15:1-23
funeral,men_main,part_1,psalm,Psalm 65:4,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (64) 65:4.,Ps 65:4
funeral,men_main,part_1,gospel,John 5:19-29,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Main funeral service for men.,Jn 5:19-29
palm_sunday,vespers,vespers,psalm,Psalm 118:26-27,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Vespers Psalm for Palm Sunday; printed as Psalm (117) 118:26-27.,Ps 118:26-27
palm_sunday,vespers,vespers,gospel,John 12:1-11,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Vespers Gospel for Palm Sunday.,Jn 12:1-11
palm_sunday,procession,procession_station_01_main_sanctuary,psalm,Psalm 104:4; Psalm 138:1,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 1: Main Sanctuary; Psalm before the station Gospel.,Ps 104:4; Psalm 138:1
palm_sunday,procession,procession_station_01_main_sanctuary,gospel,John 1:43-51,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 1: Main Sanctuary; station Gospel.,Jn 1:43-51
palm_sunday,procession,procession_station_02_holy_virgin_st_mary,psalm,"Psalm 87:3,5,7","Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 2: The Holy Virgin St. Mary; Psalm before the station Gospel.,"Ps 87:3,87:5,87:7"
palm_sunday,procession,procession_station_02_holy_virgin_st_mary,gospel,Luke 1:39-56,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 2: The Holy Virgin St. Mary; station Gospel.,Lk 1:39-56
palm_sunday,procession,procession_station_03_archangel_gabriel,psalm,Psalm 34:7-8,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 3: The Archangel Gabriel; Psalm before the station Gospel.,Ps 34:7-8
palm_sunday,procession,procession_station_03_archangel_gabriel,gospel,Luke 1:26-38,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 3: The Archangel Gabriel; station Gospel.,Lk 1:26-38
palm_sunday,procession,procession_station_04_archangel_michael,psalm,Psalm 103:20-21,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 4: The Archangel Michael; Psalm before the station Gospel.,Ps 103:20-21
palm_sunday,procession,procession_station_04_archangel_michael,gospel,Matthew 13:44-53,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 4: The Archangel Michael; station Gospel.,Matt 13:44-53
palm_sunday,procession,procession_station_05_st_mark_evangelist,psalm,Psalm 68:11-12,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 5: St. Mark the Evangelist; Psalm before the station Gospel.,Ps 68:11-12
palm_sunday,procession,procession_station_05_st_mark_evangelist,gospel,Luke 10:1-12,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 5: St. Mark the Evangelist; station Gospel.,Lk 10:1-12
palm_sunday,procession,procession_station_06_holy_apostles,psalm,Psalm 19:3-4,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 6: The Holy Apostles; Psalm before the station Gospel.,Ps 19:3-4
palm_sunday,procession,procession_station_06_holy_apostles,gospel,Matthew 10:1-8,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 6: The Holy Apostles; station Gospel.,Matt 10:1-8
palm_sunday,procession,procession_station_07_st_george,psalm,Psalm 97:11-12,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 7: St. George; Psalm before the station Gospel.,Ps 97:11-12
palm_sunday,procession,procession_station_07_st_george,gospel,Luke 21:12-19,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 7: St. George; station Gospel.,Lk 21:12-19
palm_sunday,procession,procession_station_08_st_antony,psalm,Psalm 68:35; Psalm 68:3,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 8: St. Antony; Psalm before the station Gospel.,Ps 68:35; Psalm 68:3
palm_sunday,procession,procession_station_08_st_antony,gospel,Matthew 16:24-28,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 8: St. Antony; station Gospel.,Matt 16:24-28
palm_sunday,procession,procession_station_09_northern_door,psalm,Psalm 84:1-2,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 9: Northern Door; Psalm before the station Gospel.,Ps 84:1-2
palm_sunday,procession,procession_station_09_northern_door,gospel,Luke 13:22-30,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 9: Northern Door; station Gospel.,Lk 13:22-30
palm_sunday,procession,procession_station_10_baptismal_font,psalm,Psalm 29:3-4,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 10: Baptismal Font; Psalm before the station Gospel.,Ps 29:3-4
palm_sunday,procession,procession_station_10_baptismal_font,gospel,Matthew 3:13-17,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 10: Baptismal Font; station Gospel.,Matt 3:13-17
palm_sunday,procession,procession_station_11_southern_door,psalm,Psalm 118:19-20,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 11: Southern Door; Psalm before the station Gospel.,Ps 118:19-20
palm_sunday,procession,procession_station_11_southern_door,gospel,Matthew 21:1-11,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 11: Southern Door; station Gospel.,Matt 21:1-11
palm_sunday,procession,procession_station_12_st_john_the_baptist,psalm,Psalm 52:8,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 12: St. John the Baptist; Psalm before the station Gospel.,Ps 52:8
palm_sunday,procession,procession_station_12_st_john_the_baptist,gospel,Luke 7:28-35,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 12: St. John the Baptist; station Gospel.,Lk 7:28-35
palm_sunday,matins,matins,psalm,Psalm 68:19; Psalm 68:35,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"Matins Psalm after Palm Sunday procession; printed as Psalm (67) 68:19,35.",Ps 68:19; Psalm 68:35
palm_sunday,matins,matins,gospel,Luke 19:1-10,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"Matins Gospel after Palm Sunday procession, Zacchaeus reading.",Lk 19:1-10
palm_sunday,liturgy,liturgy_readings,pauline,Hebrews 9:11-28,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday Divine Liturgy Pauline reading.,Heb 9:11-28
palm_sunday,liturgy,liturgy_readings,catholic,1 Peter 4:1-11,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday Divine Liturgy Catholic Epistle.,1Pet 4:1-11
palm_sunday,liturgy,liturgy_readings,acts,Acts 28:11-31,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday Divine Liturgy Praxis / Acts reading.,Acts 28:11-31
palm_sunday,liturgy,first_gospel,psalm,Psalm 81:3; Psalm 81:1; Psalm 81:2,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"First Psalm for Palm Sunday before the first Liturgy Gospel; printed as Psalm (80) 81:3,1,2.",Ps 81:3; Psalm 81:1; Psalm 81:2
palm_sunday,liturgy,first_gospel,gospel,Matthew 21:1-17,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,First Gospel for Palm Sunday Divine Liturgy.,Matt 21:1-17
palm_sunday,liturgy,second_gospel,gospel,Mark 11:1-11,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Second Gospel for Palm Sunday Divine Liturgy.,Mark 11:1-11
palm_sunday,liturgy,third_gospel,gospel,Luke 19:29-48,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Third Gospel for Palm Sunday Divine Liturgy.,Lk 19:29-48
palm_sunday,liturgy,fourth_gospel,psalm,Psalm 65:1-2,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"Psalm before the fourth Gospel for Palm Sunday; printed as Psalm (64) 65:1,2.",Ps 65:1-2
palm_sunday,liturgy,fourth_gospel,gospel,John 12:12-19,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Fourth Gospel for Palm Sunday Divine Liturgy.,Jn 12:12-19
general_funeral,palm_sunday_general_funeral,prophecy,old_testament,Ezekiel 37:1-14,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,General Funeral prayed after Palm Sunday liturgy before Holy Pascha; prophecy reading in the Palm Sunday book.,Ezek 37:1-14
general_funeral,palm_sunday_general_funeral,main_readings,pauline,1 Corinthians 15:1-27,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday General Funeral Pauline from the Palm Sunday book; extends beyond the separate men_main funeral book reading.,1Cor 15:1-27
general_funeral,palm_sunday_general_funeral,main_readings,psalm,Psalm 65:4-5,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (64) 65:4-5 in the Palm Sunday General Funeral section.,Ps 65:4-5
general_funeral,palm_sunday_general_funeral,main_readings,gospel,John 5:19-29,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday General Funeral Gospel from the Palm Sunday book.,Jn 5:19-29
funeral,men_passion_week,at_burial_site_override,old_testament,Genesis 50:4-25,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,"Passion Week burial-site override. The rite explicitly says the Trisagion, Gospel litany, Psalm, and Gospel are then read as before.",Gen 50:4-25
funeral,women_main,part_2,pauline,1 Corinthians 15:39-49,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Main funeral service for women.,1Cor 15:39-49
funeral,women_main,part_2,psalm,Psalm 116:7-8,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (114) 116:7-8.,Ps 116:7-8
funeral,women_main,part_2,gospel,Matthew 26:6-13,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Main funeral service for women.,Matt 26:6-13
funeral,women_passion_week,at_burial_site_override,old_testament,Genesis 23:1-20,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Passion Week burial-site override for women; followed by Genesis 24:1-67 and then the Psalm/Gospel as before.,Gen 23:1-20
funeral,women_passion_week,at_burial_site_override,old_testament,Genesis 24:1-67,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Second Passion Week burial-site reading for women.,Gen 24:1-67
funeral,women_delivery_main,part_3,old_testament,Isaiah 26:9-20,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Funeral for women who depart during delivery.,Isa 26:9-20
funeral,women_delivery_main,part_3,pauline,Romans 5:1-15,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Funeral for women who depart during delivery.,Rom 5:1-15
funeral,women_delivery_main,part_3,psalm,Psalm 78:38-39,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (77) 78:38-39.,Ps 78:38-39
funeral,women_delivery_main,part_3,gospel,John 16:20-23,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Funeral for women who depart during delivery.,Jn 16:20-23
funeral,women_delivery_passion_week,at_burial_site_override,old_testament,Genesis 23:1-20,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Passion Week burial-site override for women who depart during delivery; followed by Genesis 24:1-67 and then the Psalm/Gospel as before.,Gen 23:1-20
funeral,women_delivery_passion_week,at_burial_site_override,old_testament,Genesis 24:1-67,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Second Passion Week burial-site reading for women who depart during delivery.,Gen 24:1-67
