service_family,service_variant,section,reading_type,raw_ref,canonical_ref,matched_ref,source_title,source_url,source_page,notes,source_kind
unction_of_the_sick,first_prayer,first_prayer,psalm,Psalm 6:1-2,Ps 6:1-2,Ps 6:1-2,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,First prayer Psalm.,special_service
unction_of_the_sick,first_prayer,first_prayer,gospel,John 5:1-17,Jn 5:1-17,Jn 5:1-17,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,First prayer Gospel.,special_service
unction_of_the_sick,second_prayer,second_prayer,pauline,Romans 15:1-7,Rom 15:1-7,Rom 15:1-7,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Second prayer Pauline.,special_service
unction_of_the_sick,second_prayer,second_prayer,psalm,Psalm 102:1-2,Ps 102:1-2,Ps 102:1-2,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Printed as Psalms (101) 102:1-2.,special_service
unction_of_the_sick,second_prayer,second_prayer,gospel,Luke 19:1-10,Lk 19:1-10,Lk 19:1-10,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Second prayer Gospel.,special_service
unction_of_the_sick,third_prayer,third_prayer,pauline,1 Corinthians 12:28-13:8,1Cor 12:28-13:8,1Cor 12:28-13:8,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Third prayer Pauline.,special_service
unction_of_the_sick,third_prayer,third_prayer,psalm,Psalm 38:1-2,Ps 38:1-2,Ps 38:1-2,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (37) 38:1-2.,special_service
unction_of_the_sick,third_prayer,third_prayer,gospel,Matthew 10:1-8,Matt 10:1-8,Matt 10:1-8,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Third prayer Gospel.,special_service
unction_of_the_sick,fourth_prayer,fourth_prayer,pauline,Romans 8:14-21,Rom 8:14-21,Rom 8:14-21,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Fourth prayer Pauline.,special_service
unction_of_the_sick,fourth_prayer,fourth_prayer,psalm,Psalm 51:1-2,Ps 51:1-2,Ps 51:1-2,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (50) 51:1-2.,special_service
unction_of_the_sick,fourth_prayer,fourth_prayer,gospel,Luke 10:1-9,Lk 10:1-9,Lk 10:1-9,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Fourth prayer Gospel.,special_service
unction_of_the_sick,fifth_prayer,fifth_prayer,pauline,Galatians 2:16-20,Gal 2:16-20,Gal 2:16-20,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Fifth prayer Pauline.,special_service
unction_of_the_sick,fifth_prayer,fifth_prayer,psalm,Psalm 142:7,Ps 142:7,Ps 142:7,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (141) 142:7.,special_service
unction_of_the_sick,fifth_prayer,fifth_prayer,gospel,John 14:1-19,Jn 14:1-19,Jn 14:1-19,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Fifth prayer Gospel.,special_service
unction_of_the_sick,sixth_prayer,sixth_prayer,pauline,Colossians 3:12-17,Col 3:12-17,Col 3:12-17,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Sixth prayer Pauline.,special_service
unction_of_the_sick,sixth_prayer,sixth_prayer,psalm,Psalm 4:1,Ps 4:1,Ps 4:1,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Sixth prayer Psalm.,special_service
unction_of_the_sick,sixth_prayer,sixth_prayer,gospel,Luke 7:36-50,Lk 7:36-50,Lk 7:36-50,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Sixth prayer Gospel.,special_service
unction_of_the_sick,seventh_prayer,seventh_prayer,pauline,Ephesians 6:10-18,Eph 6:10-18,Eph 6:10-18,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Seventh prayer Pauline.,special_service
unction_of_the_sick,seventh_prayer,seventh_prayer,psalm,Psalm 25:18; Psalm 25:20,Ps 25:18; Psalm 25:20,Ps 25:18,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm (24) 25:18,20.",special_service
unction_of_the_sick,seventh_prayer,seventh_prayer,psalm,Psalm 25:18; Psalm 25:20,Ps 25:18; Psalm 25:20,Ps 25:20,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm (24) 25:18,20.",special_service
unction_of_the_sick,seventh_prayer,seventh_prayer,gospel,Matthew 6:14-18,Matt 6:14-18,Matt 6:14-18,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Seventh prayer Gospel.,special_service
funeral,men_main,part_1,pauline,1 Corinthians 15:1-23,1Cor 15:1-23,1Cor 15:1-23,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Main funeral service for men.,special_service
funeral,men_main,part_1,psalm,Psalm 65:4,Ps 65:4,Ps 65:4,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (64) 65:4.,special_service
funeral,men_main,part_1,gospel,John 5:19-29,Jn 5:19-29,Jn 5:19-29,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Main funeral service for men.,special_service
palm_sunday,vespers,vespers,psalm,Psalm 118:26-27,Ps 118:26-27,Ps 118:26-27,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Vespers Psalm for Palm Sunday; printed as Psalm (117) 118:26-27.,special_service
palm_sunday,vespers,vespers,gospel,John 12:1-11,Jn 12:1-11,Jn 12:1-11,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Vespers Gospel for Palm Sunday.,special_service
palm_sunday,procession,procession_station_01_main_sanctuary,psalm,Psalm 104:4; Psalm 138:1,Ps 104:4; Psalm 138:1,Ps 104:4,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 1: Main Sanctuary; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_01_main_sanctuary,psalm,Psalm 104:4; Psalm 138:1,Ps 104:4; Psalm 138:1,Ps 138:1,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 1: Main Sanctuary; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_01_main_sanctuary,gospel,John 1:43-51,Jn 1:43-51,Jn 1:43-51,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 1: Main Sanctuary; station Gospel.,special_service
palm_sunday,procession,procession_station_02_holy_virgin_st_mary,psalm,"Psalm 87:3,5,7","Ps 87:3,87:5,87:7","Ps 87:3,87:5,87:7","Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 2: The Holy Virgin St. Mary; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_02_holy_virgin_st_mary,gospel,Luke 1:39-56,Lk 1:39-56,Lk 1:39-56,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 2: The Holy Virgin St. Mary; station Gospel.,special_service
palm_sunday,procession,procession_station_03_archangel_gabriel,psalm,Psalm 34:7-8,Ps 34:7-8,Ps 34:7-8,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 3: The Archangel Gabriel; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_03_archangel_gabriel,gospel,Luke 1:26-38,Lk 1:26-38,Lk 1:26-38,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 3: The Archangel Gabriel; station Gospel.,special_service
palm_sunday,procession,procession_station_04_archangel_michael,psalm,Psalm 103:20-21,Ps 103:20-21,Ps 103:20-21,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 4: The Archangel Michael; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_04_archangel_michael,gospel,Matthew 13:44-53,Matt 13:44-53,Matt 13:44-53,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 4: The Archangel Michael; station Gospel.,special_service
palm_sunday,procession,procession_station_05_st_mark_evangelist,psalm,Psalm 68:11-12,Ps 68:11-12,Ps 68:11-12,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 5: St. Mark the Evangelist; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_05_st_mark_evangelist,gospel,Luke 10:1-12,Lk 10:1-12,Lk 10:1-12,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 5: St. Mark the Evangelist; station Gospel.,special_service
palm_sunday,procession,procession_station_06_holy_apostles,psalm,Psalm 19:3-4,Ps 19:3-4,Ps 19:3-4,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 6: The Holy Apostles; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_06_holy_apostles,gospel,Matthew 10:1-8,Matt 10:1-8,Matt 10:1-8,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 6: The Holy Apostles; station Gospel.,special_service
palm_sunday,procession,procession_station_07_st_george,psalm,Psalm 97:11-12,Ps 97:11-12,Ps 97:11-12,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 7: St. George; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_07_st_george,gospel,Luke 21:12-19,Lk 21:12-19,Lk 21:12-19,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 7: St. George; station Gospel.,special_service
palm_sunday,procession,procession_station_08_st_antony,psalm,Psalm 68:35; Psalm 68:3,Ps 68:35; Psalm 68:3,Ps 68:35,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 8: St. Antony; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_08_st_antony,psalm,Psalm 68:35; Psalm 68:3,Ps 68:35; Psalm 68:3,Ps 68:3,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 8: St. Antony; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_08_st_antony,gospel,Matthew 16:24-28,Matt 16:24-28,Matt 16:24-28,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 8: St. Antony; station Gospel.,special_service
palm_sunday,procession,procession_station_09_northern_door,psalm,Psalm 84:1-2,Ps 84:1-2,Ps 84:1-2,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 9: Northern Door; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_09_northern_door,gospel,Luke 13:22-30,Lk 13:22-30,Lk 13:22-30,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 9: Northern Door; station Gospel.,special_service
palm_sunday,procession,procession_station_10_baptismal_font,psalm,Psalm 29:3-4,Ps 29:3-4,Ps 29:3-4,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 10: Baptismal Font; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_10_baptismal_font,gospel,Matthew 3:13-17,Matt 3:13-17,Matt 3:13-17,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 10: Baptismal Font; station Gospel.,special_service
palm_sunday,procession,procession_station_11_southern_door,psalm,Psalm 118:19-20,Ps 118:19-20,Ps 118:19-20,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 11: Southern Door; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_11_southern_door,gospel,Matthew 21:1-11,Matt 21:1-11,Matt 21:1-11,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 11: Southern Door; station Gospel.,special_service
palm_sunday,procession,procession_station_12_st_john_the_baptist,psalm,Psalm 52:8,Ps 52:8,Ps 52:8,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 12: St. John the Baptist; Psalm before the station Gospel.,special_service
palm_sunday,procession,procession_station_12_st_john_the_baptist,gospel,Luke 7:28-35,Lk 7:28-35,Lk 7:28-35,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday procession station 12: St. John the Baptist; station Gospel.,special_service
palm_sunday,matins,matins,psalm,Psalm 68:19; Psalm 68:35,Ps 68:19; Psalm 68:35,Ps 68:19,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"Matins Psalm after Palm Sunday procession; printed as Psalm (67) 68:19,35.",special_service
palm_sunday,matins,matins,psalm,Psalm 68:19; Psalm 68:35,Ps 68:19; Psalm 68:35,Ps 68:35,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"Matins Psalm after Palm Sunday procession; printed as Psalm (67) 68:19,35.",special_service
palm_sunday,matins,matins,gospel,Luke 19:1-10,Lk 19:1-10,Lk 19:1-10,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"Matins Gospel after Palm Sunday procession, Zacchaeus reading.",special_service
palm_sunday,liturgy,liturgy_readings,pauline,Hebrews 9:11-28,Heb 9:11-28,Heb 9:11-28,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday Divine Liturgy Pauline reading.,special_service
palm_sunday,liturgy,liturgy_readings,catholic,1 Peter 4:1-11,1Pet 4:1-11,1Pet 4:1-11,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday Divine Liturgy Catholic Epistle.,special_service
palm_sunday,liturgy,liturgy_readings,acts,Acts 28:11-31,Acts 28:11-31,Acts 28:11-31,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Palm Sunday Divine Liturgy Praxis / Acts reading.,special_service
palm_sunday,liturgy,first_gospel,psalm,Psalm 81:3; Psalm 81:1; Psalm 81:2,Ps 81:3; Psalm 81:1; Psalm 81:2,Ps 81:3,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"First Psalm for Palm Sunday before the first Liturgy Gospel; printed as Psalm (80) 81:3,1,2.",special_service
palm_sunday,liturgy,first_gospel,psalm,Psalm 81:3; Psalm 81:1; Psalm 81:2,Ps 81:3; Psalm 81:1; Psalm 81:2,Ps 81:1,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"First Psalm for Palm Sunday before the first Liturgy Gospel; printed as Psalm (80) 81:3,1,2.",special_service
palm_sunday,liturgy,first_gospel,psalm,Psalm 81:3; Psalm 81:1; Psalm 81:2,Ps 81:3; Psalm 81:1; Psalm 81:2,Ps 81:2,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,"First Psalm for Palm Sunday before the first Liturgy Gospel; printed as Psalm (80) 81:3,1,2.",special_service
palm_sunday,liturgy,first_gospel,gospel,Matthew 21:1-17,Matt 21:1-17,Matt 21:1-17,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,First Gospel for Palm Sunday Divine Liturgy.,special_service
palm_sunday,liturgy,second_gospel,gospel,Mark 11:1-11,Mark 11:1-11,Mark 11:1-11,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Second Gospel for Palm Sunday Divine Liturgy.,special_service
palm_sunday,liturgy,third_gospel,gospel,Luke 19:29-48,Lk 19:29-48,Lk 19:29-48,"Rites and Readings of Palm Sunday, Procession and General Funeral",https://saintbishoy.ca/wp-content/uploads/Rites_Palm_Sunday_And_General_Funeral_Readings_Procession.pdf,https://saintbishoy.ca/service-books/,Third Gospel for Palm Sunday Divine Liturgy.,special_service
