mt_psalm,lxx_psalm,map_direction,mapping_scope,confidence,validation_basis,note
21,20,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
22,21,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
23,22,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
24,23,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
25,24,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
26,25,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
27,26,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
28,27,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
29,28,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
30,29,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
31,30,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
32,31,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
33,32,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
34,33,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
35,34,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
36,35,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
37,36,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
38,37,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
39,38,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
40,39,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
41,40,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
42,41,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
43,42,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
44,43,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
45,44,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
46,45,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
47,46,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
48,47,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
49,48,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
50,49,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
51,50,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
52,51,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
53,52,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
54,53,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
55,54,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
56,55,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
57,56,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
58,57,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
59,58,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
60,59,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
61,60,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
62,61,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
63,62,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
64,63,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
65,64,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
66,65,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
67,66,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
68,67,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
69,68,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
70,69,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
71,70,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
72,71,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
73,72,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
74,73,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
75,74,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
76,75,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
77,76,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
78,77,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
79,78,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
80,79,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
81,80,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
82,81,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
83,82,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
84,83,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
85,84,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
86,85,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
87,86,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
88,87,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
89,88,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
90,89,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
91,90,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
92,91,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
93,92,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
94,93,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
95,94,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
96,95,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
97,96,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
98,97,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
99,98,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
100,99,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
101,100,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
102,101,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
103,102,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
104,103,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
105,104,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
106,105,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
107,106,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
108,107,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
109,108,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
110,109,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
111,110,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
112,111,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
113,112,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
114,113,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
115,113,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
116,115,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
117,116,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
118,117,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
119,118,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
120,119,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
121,120,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
122,121,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
