old_occasion,identity_key,display_ref,service_section,service_hour,slot,slot_type,presentation_duplicate_rows,specific_coptic_day_count,specific_coptic_days,source_row_ids,validated,source_of_confusion,fix
annual fixed Coptic day,rid_31aa9fef167c209304c7,Acts 27:42-44,liturgy_acts,,liturgy_acts,praxis,11,11,Abib 20; Amshir 25; Amshir 28; Babah 15; Babah 19; Baramhat 18; Barmuda 2; Barmuda 20; Barmuda 24; Barmuda 26; Baunah 6,547; 607; 2203; 2245; 2484; 2656; 2878; 2925; 2947; 3451; 3988,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_35897a8bf8b3ae6c8d79,Acts 13:1-12,liturgy_acts,,liturgy_acts,praxis,13,13,Abib 21; Abib 25; Babah 10; Babah 28; Babah 4; Babah 8; Baramhat 13; Barmuda 28; Bashans 25; Hatur 19; Hatur 25; Kiyahk 8; Tubah 5,408; 459; 486; 723; 997; 1078; 1256; 1584; 2425; 2971; 3305; 4000; 4047,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_36cc6a006599dbeaa194,Acts 8:26-39,liturgy_acts,,liturgy_acts,praxis,3,3,Babah 14; Baramhat 25; Tubah 12,536; 1675; 2581,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_39ae4e98e33691fbccd1,Acts 7:44-60,liturgy_acts,,liturgy_acts,praxis,12,12,Abib 12; Abib 24; Abib 4; Amshir 6; Baramhat 21; Baunah 15; Baunah 4; Hatur 15; Mesra 1; Mesra 13; Mesra 9; Tubah 28,942; 1867; 1958; 2523; 3424; 3554; 3796; 3895; 4033; 4112; 4201; 4247,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_3dc6848bbd1e79404b41,Acts 15:13-21,liturgy_acts,,liturgy_acts,praxis,9,9,Abib 23; Amshir 8; Babah 29; Baramhat 6; Hatur 27; Hatur 5; Kiyahk 16; Mesra 10; Tubah 6,734; 816; 1101; 1362; 1593; 1986; 2346; 4022; 4214,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_3fccadb59a8bc8fd0836,Acts 8:3-13,liturgy_acts,,liturgy_acts,praxis,3,3,Mesra 5; Tubah 13; Tubah 26,1685; 1846; 4157,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_3ff495927e071a080ce1,Acts 4:8-18,liturgy_acts,,liturgy_acts,praxis,1,1,Tut 18,217,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_42bcad632d476e0dd6b7,Acts 3:1-16,liturgy_acts,,liturgy_acts,praxis,18,18,Abib 16; Abib 18; Abib 29; Abib 5; Al-Nasi 1; Amshir 10; Amshir 21; Amshir 29; Baramhat 8; Barmuda 16; Barmuda 17; Bashans 16; Bashans 26; Hatur 18; Kiyahk 21; Kiyahk 24; Kiyahk 4; Tubah 4,986; 1202; 1419; 1449; 1572; 2007; 2153; 2258; 2369; 2832; 2842; 3192; 3315; 3808; 3945; 3964; 4089; 4468,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_439602ba7153e0cd0984,Acts 9:31-43,liturgy_acts,,liturgy_acts,praxis,3,3,Baramhat 28; Bashans 9; Tut 16,197; 2613; 3105,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_48f6ac3dfba2bf8912a0,Acts 7:2-7,liturgy_acts,,liturgy_acts,praxis,5,5,Amshir 16; Hatur 11; Kiyahk 13; Mesra 7; Tut 26,303; 888; 1322; 2087; 4177,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_498ac3b509ac6821f4ee,Acts 13:36-43,liturgy_acts,,liturgy_acts,praxis,1,1,Kiyahk 30,1519,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_4ad0a6984be4ba3c6a05,Acts 15:13-29,liturgy_acts,,liturgy_acts,praxis,11,11,Abib 15; Amshir 30; Amshir 9; Bashans 14; Bashans 2; Bashans 21; Bashans 29; Baunah 24; Kiyahk 17; Mesra 3; Tut 14,174; 1373; 1997; 2268; 3018; 3172; 3255; 3357; 3670; 3934; 4133,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,liturgy_acts,,liturgy_acts,praxis,8,8,Amshir 4; Babah 22; Bashans 1; Baunah 21; Kiyahk 18; Kiyahk 3; Mesra 16; Tubah 21,645; 1192; 1383; 1785; 1935; 3008; 3634; 4288,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_5312571ad2ea75579e4e,Acts 3:12-21,liturgy_acts,,liturgy_acts,praxis,1,1,Tut 19,229,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_57e905b23e1bd926dd20,Acts 12:1-24,liturgy_acts,,liturgy_acts,praxis,15,15,Amshir 11; Amshir 20; Babah 16; Babah 18; Baramhat 12; Baramhat 16; Baramhat 20; Baramhat 24; Baramhat 3; Barmuda 14; Barmuda 22; Bashans 4; Baunah 18; Hatur 2; Hatur 29,562; 594; 777; 1129; 2021; 2141; 2307; 2413; 2457; 2512; 2568; 2806; 2902; 3044; 3598,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_589a2a687937d5950890,Acts 12:1-12,liturgy_acts,,liturgy_acts,praxis,1,1,Tut 2,23,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_622315eb2aba076048ad,Acts 13:25-33,liturgy_acts,,liturgy_acts,praxis,1,1,Baunah 2,3399,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_7198f6144e1675a2733b,Acts 11:2-14,liturgy_acts,,liturgy_acts,praxis,1,1,Hatur 8,857,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_7316d2fbfbbab177fffe,Acts 19:23-41,liturgy_acts,,liturgy_acts,praxis,15,15,Abib 11; Abib 22; Amshir 13; Amshir 17; Amshir 23; Barmuda 18; Barmuda 27; Bashans 10; Baunah 11; Kiyahk 14; Mesra 8; Tubah 16; Tubah 27; Tut 11; Tut 22,134; 258; 1333; 1718; 1856; 2044; 2098; 2177; 2852; 2958; 3117; 3509; 3884; 4010; 4191,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_79f20a86350cc830ee07,Acts 11:15-24,liturgy_acts,,liturgy_acts,praxis,5,5,Amshir 1; Baramhat 4; Hatur 3; Hatur 9; Tut 12,146; 790; 868; 1898; 2320,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_8198692d8c2e8cad9f80,Acts 17:16-34,liturgy_acts,,liturgy_acts,praxis,1,1,Feast of Nayrouz,8,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_88ac64809952994c448f,Acts 7:20-34,liturgy_acts,,liturgy_acts,praxis,4,4,Bashans 24; Baunah 8; Feast of St. Joseph the Carpenter; Mesra 28,3292; 3475; 4059; 4431,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_89b358202e49ec02bcb4,Acts 2:22-36,liturgy_acts,,liturgy_acts,praxis,1,1,Kiyahk 23,1438,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_8d2dd8842e5abef77bdb,Acts 10:34-43,liturgy_acts,,liturgy_acts,praxis,3,3,Baramhat 10; Mesra 12; Tut 17,206; 2391; 4238,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_9568c1b72902015ea76d,Acts 7:23-34,liturgy_acts,,liturgy_acts,praxis,1,1,Baramhat 29,2624,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_98e09f2f3e6fa74eefff,Acts 10:21-33,liturgy_acts,,liturgy_acts,praxis,4,4,Al-Nasi 3; Baramhat 30; Baunah 13; Kiyahk 22,1429; 2633; 3530; 4490,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_9aa43fe980fa6a8e7048,Acts 15:21-29,liturgy_acts,,liturgy_acts,praxis,18,18,Amshir 26; Babah 21; Baramhat 23; Barmuda 5; Barmuda 7; Bashans 5; Baunah 20; Baunah 26; Baunah 9; Kiyahk 20; Kiyahk 5; Mesra 22; Mesra 4; Tubah 15; Tut 25; Tut 4; Tut 6; Tut 8,52; 73; 102; 293; 635; 1215; 1409; 1709; 2217; 2555; 2699; 2720; 3058; 3488; 3622; 3695; 4145; 4360,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_9c49e5270e529fde2ec1,Acts 11:12-18,liturgy_acts,,liturgy_acts,praxis,1,1,Al-Nasi 6,4524,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_a13e38e3d727d1d7e70d,Acts 12:25,liturgy_acts,,liturgy_acts,praxis,13,13,Abib 21; Abib 25; Babah 10; Babah 28; Babah 4; Babah 8; Baramhat 13; Barmuda 28; Bashans 25; Hatur 19; Hatur 25; Kiyahk 8; Tubah 5,407; 458; 485; 722; 996; 1077; 1255; 1583; 2424; 2970; 3304; 3999; 4046,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_a4b6e37a52931a1cb056,Acts 6:1-15,liturgy_acts,,liturgy_acts,praxis,13,13,Abib 6; Babah 26; Baramhat 19; Barmuda 15; Barmuda 29; Bashans 22; Bashans 3; Baunah 1; Baunah 25; Tubah 1; Tubah 20; Tut 15; Tut 24,185; 279; 696; 1530; 1771; 2497; 2819; 2982; 3029; 3266; 3385; 3681; 3820,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_a58dd2fd090611e2d05b,Acts 15:6-12,liturgy_acts,,liturgy_acts,praxis,1,1,Hatur 24,1063,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_af92a19084930ccb825e,Acts 18:24-28,liturgy_acts,,liturgy_acts,praxis,23,23,Al-Nasi 4; Amshir 12; Amshir 15; Amshir 19; Amshir 3; Babah 13; Babah 25; Babah 7; Baramhat 9; Barmuda 1; Barmuda 10; Bashans 20; Baunah 16; Baunah 29; Hatur 16; Kiyahk 11; Kiyahk 12; Kiyahk 2; Mesra 25; Tubah 11; Tubah 14; Tubah 17; Tubah 25,446; 524; 684; 958; 1179; 1299; 1311; 1662; 1696; 1733; 1833; 1924; 2034; 2076; 2127; 2381; 2644; 2754; 3244; 3570; 3735; 4395; 4500,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_afeaa6e4bc0cc8f1d038,Acts 15:36-41,liturgy_acts,,liturgy_acts,praxis,34,34,Abib 10; Abib 13; Abib 2; Abib 9; Al-Nasi 5; Amshir 22; Amshir 24; Babah 23; Babah 30; Baramhat 17; Baramhat 2; Baramhat 5; Barmuda 19; Barmuda 30; Bashans 11; Bashans 17; Bashans 23; Bashans 27; Baunah 14; Baunah 27; Baunah 3; Hatur 14; Hatur 20; Hatur 23; Hatur 28; Hatur 4; Kiyahk 10; Kiyahk 19; Kiyahk 27; Mesra 11; Mesra 24; Tubah 18; Tubah 23; Tut 9,115; 658; 746; 804; 931; 1009; 1052; 1115; 1284; 1396; 1485; 1747; 1812; 2167; 2191; 2293; 2334; 2472; 2866; 2995; 3130; 3205; 3279; 3329; 3413; 3543; 3706; 3768; 3860; 3874; 3910; 4228; 4383; 4514,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_b10570d950c8b9d38243,Acts 16:16-34,liturgy_acts,,liturgy_acts,praxis,9,9,Abib 27; Barmuda 23; Bashans 6; Bashans 8; Baunah 19; Baunah 7; Hatur 7; Mesra 23; Mesra 27,844; 2914; 3068; 3095; 3463; 3610; 4070; 4370; 4422,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_b6226443a3aacf1e115c,Acts 5:34-42,liturgy_acts,,liturgy_acts,praxis,1,1,Mesra 29,4446,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_ce9d159baf7c0aa56ce2,Acts 20:17-38,liturgy_acts,,liturgy_acts,praxis,37,37,Abib 3; Amshir 14; Amshir 18; Amshir 27; Amshir 7; Babah 11; Babah 17; Babah 2; Babah 3; Babah 5; Babah 9; Baramhat 22; Barmuda 12; Barmuda 3; Bashans 12; Bashans 28; Bashans 30; Bashans 7; Baunah 28; Hatur 1; Hatur 13; Hatur 17; Hatur 21; Hatur 30; Hatur 6; Kiyahk 1; Kiyahk 15; Kiyahk 6; Mesra 14; Mesra 18; Tubah 2; Tubah 7; Tubah 8; Tut 13; Tut 3; Tut 30; Tut 7,38; 88; 161; 352; 379; 395; 423; 473; 502; 579; 762; 831; 916; 973; 1024; 1146; 1162; 1230; 1348; 1547; 1608; 1626; 1975; 2059; 2113; 2231; 2541; 2673; 2779; 3083; 3145; 3344; 3372; 3722; 3784; 4264; 4312,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_cf7f898c901340a8c5d3,Acts 7:30-37,liturgy_acts,,liturgy_acts,praxis,1,1,Mesra 30,4457,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_d6b351115e6125d45624,Acts 19:1-6,liturgy_acts,,liturgy_acts,praxis,23,23,Al-Nasi 4; Amshir 12; Amshir 15; Amshir 19; Amshir 3; Babah 13; Babah 25; Babah 7; Baramhat 9; Barmuda 1; Barmuda 10; Bashans 20; Baunah 16; Baunah 29; Hatur 16; Kiyahk 11; Kiyahk 12; Kiyahk 2; Mesra 25; Tubah 11; Tubah 14; Tubah 17; Tubah 25,447; 525; 685; 959; 1180; 1300; 1312; 1663; 1697; 1734; 1834; 1925; 2035; 2077; 2128; 2382; 2645; 2755; 3245; 3571; 3736; 4396; 4501,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_d7b1a7a5187554872006,Acts 7:1-2,liturgy_acts,,liturgy_acts,praxis,13,13,Abib 6; Babah 26; Baramhat 19; Barmuda 15; Barmuda 29; Bashans 22; Bashans 3; Baunah 1; Baunah 25; Tubah 1; Tubah 20; Tut 15; Tut 24,186; 280; 697; 1531; 1772; 2498; 2820; 2983; 3030; 3267; 3386; 3682; 3821,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_d83f8bbd1923b4e00687,Acts 19:11-17,liturgy_acts,,liturgy_acts,praxis,5,5,Baramhat 11; Baramhat 14; Barmuda 21; Tut 21; Tut 23,249; 268; 2400; 2435; 2889,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_e0fbf80747507e81a74b,Acts 16:1-5,liturgy_acts,,liturgy_acts,praxis,34,34,Abib 10; Abib 13; Abib 2; Abib 9; Al-Nasi 5; Amshir 22; Amshir 24; Babah 23; Babah 30; Baramhat 17; Baramhat 2; Baramhat 5; Barmuda 19; Barmuda 30; Bashans 11; Bashans 17; Bashans 23; Bashans 27; Baunah 14; Baunah 27; Baunah 3; Hatur 14; Hatur 20; Hatur 23; Hatur 28; Hatur 4; Kiyahk 10; Kiyahk 19; Kiyahk 27; Mesra 11; Mesra 24; Tubah 18; Tubah 23; Tut 9,116; 659; 747; 805; 932; 1010; 1053; 1116; 1285; 1397; 1486; 1748; 1813; 2168; 2192; 2294; 2335; 2473; 2867; 2996; 3131; 3206; 3280; 3330; 3414; 3544; 3707; 3769; 3861; 3875; 3911; 4229; 4384; 4515,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_f11724db5227eefcbb03,Acts 11:19-26,liturgy_acts,,liturgy_acts,praxis,9,9,Babah 24; Barmuda 9; Bashans 13; Bashans 19; Baunah 17; Baunah 23; Baunah 5; Kiyahk 9; Tubah 22,672; 1270; 1798; 2742; 3161; 3232; 3439; 3584; 3659,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_f1fe4f42fa473ab5d2b1,Acts 13:26-33,liturgy_acts,,liturgy_acts,praxis,1,1,Kiyahk 29,1507,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_f7d6d26c93bad1d434be,Acts 10:1-20,liturgy_acts,,liturgy_acts,praxis,2,2,Baunah 12; Hatur 12,901; 3521,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_0a512e323e73cd427d35,Jude 1:1-13,liturgy_catholic,,liturgy_catholic,catholicon,2,2,Baunah 12; Hatur 12,900; 3520,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_11ad42470318eb76afb1,James 5:9-12,liturgy_catholic,,liturgy_catholic,catholicon,1,1,Mesra 25,4394,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2c22a9d009de1253cc29,James 1:1-18,liturgy_catholic,,liturgy_catholic,catholicon,5,5,Amshir 16; Hatur 11; Kiyahk 13; Mesra 7; Tut 26,302; 887; 1321; 2086; 4176,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2c689744523478f2749d,1Pet 2:18-25,liturgy_catholic,,liturgy_catholic,catholicon,20,20,Abib 3; Amshir 7; Babah 11; Babah 17; Babah 2; Baramhat 22; Barmuda 12; Barmuda 3; Bashans 30; Bashans 7; Baunah 28; Hatur 1; Hatur 13; Hatur 30; Kiyahk 6; Mesra 18; Tubah 2; Tubah 8; Tut 3; Tut 7,36; 86; 377; 500; 577; 760; 914; 1144; 1228; 1545; 1624; 1973; 2539; 2671; 2777; 3081; 3370; 3720; 3782; 4310,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
